Nome;Unidade;Quantidade;Preço
1.4 sinalização temporária de trabalhos, de acordo com o projecto elaborado nos termos do dr 22a/98 de 1 de outubro e dr 41/2002, referente a sinalização vertical, horizontal e outros equipamentos necessários, incluindo eventuais desvios de trânsito, fornecimento, implantação, colocação e retirada de todos estes elementos no final da obra. vg 1 incluido nan;vg;1;1.0
1.5 execução e implementação das medidas previstas nas normas e regulamentos em vigor sobre segurança e saúde e/ou plano de segurança e saúde, quer para o estaleiro, quer para os trabalhos constantes da obra, incluindo todos os fornecimentos e montagem de equipamentos e serviços. tudo devidamente executados por pessoal especializados e no estrito cumprimento do determinado quer pela legislação em vigor quer pela entidade de segurança do dono da obra e/ou fiscalização. vg 1 6500 6500;vg;1;6500.0
2 demolições nan nan nan 2500;vg;1;2500.0
2.1 demolição/remoção de alvenarias, tectos, paredes, pavimentos e rodapés existentes, incluindo todos os escoramentos e trabalhos preparatórios necessários para a protecção das pessoas e equipamentos envolvidos, todos os trabalhos necessários para a execução do projecto de alterações, com aproveitamentos dos materiais definidos ou remoção e transporte dos produtos provenientes da demolição a operador certificado de tratamento de resíduos de construção e demolição, com o respectivo pagamento de taxas, tudo de acordo com o decreto-lei 46/2008, de 12 de março. nota: todos os trabalhos não considerados na estabilidade ou instalações especiais vg 1 incluido na demolição nan;vg;1;1.0
2.2 desactivação e remoção de todas as instalações especiais existentes que não sejam aproveitáveis (conforme projectos de especialidades), incluindo aproveitamento dos equipamentos, a definir pelo d.o./fiscalização ou remoção e transporte a operador certificado de tratamento de resíduos de acordo com a legislação em vigor. nota: todos os trabalhos não incluidos no projecto de estabilidade ou instalações especiais vg 1 incluido nan;vg;1;1.0
2.3 remoção dos revestimentos existentes nas áreas exteriores, incluindo remoção e transporte a operador certificado de tratamento de resíduos de acordo com a legislação em vigor. nota: todos os trabalhos não incluidos no projecto de estabilidade ou instalações especiais vg 1 incluido nan;vg;1;1.0
2.4 abate de arvores e vegetação existentes e correspondente desenraizamento das mesmas, incluindo todos os meios de elevação, escavação e corte necessários ao seu conveniente abate, nas devidas condições de segurança, assim como o respectivo transporte a vazadouro dos respectivos resíduos vg 1 2500 2500;vg;1;2500.0
3 alvenarias nan nan nan 12662.2805;vg;1;12662.28
3.1.1 tijolo 30x20x7cm m2 81.17 24 1948.08;vg;1;1948.08
3.1.2 tijolo 30x20x9cm m2 86.02000000000001 24.6 2116.0920000000006;vg;1;2116.09
3.1.3 tijolo 30x20x11cm m2 159.67 24.8 3959.816;vg;1;3959.82
3.1.4 tijolo 30x20x15cm m2 132.7 27.4 3635.9799999999996;vg;1;3635.98
3.2 fornecimento e assentamento de isolamento térmico com 60mm de espessura, incluindo sistema de fixação, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento. paredes exteriores nan 114.54999999999998 8.75 1002.3124999999999;vg;1;1002.31
4 coberturas - impermeabilizações nan nan nan 46956.28;vg;1;46956.28
"4.1 execução de cobertura em telha ""umbelino"" marselha, vermelha envelhecida constituida por: - placa de subtelha de isolamento sandwich ""ondutherm"" da onduline, aplicada sobre laje de betão; - membrana impermeável, respirável; - ripado para telha marselha do sistema; - telha ""umbelino"" marselha vermelha envelhecida; - telha de beirado, cumeeiras e restantes acessórios do sistema; - rufos e caleiras em chapa de zinco e restantes trabalhos necessários ao seu perfeito acabamento, conforme pormenores de projecto. (medição em projecção horizontal + 10%) m2 341.48 98 33465.04";vg;1;33465.04
"4.2 execução de impermeabilização de coberturas acessíveis tipo ""imperalum"" ou equivalente, constituida por: - execução de pendentes sobre laje de betão e betonilha de regularização 1% de inclinação com o mínimo de 3cm; - primário imperkote l; - isolamento térmico tipo ""pirmate b"" com 100mm de espessura; - telas polypas 30 + polyester 40 t; - manta geotêtil de 200g/m2 tipo ""impersep 200; - acabamento sobre impermeabilização, considerado em art.o próprio. incluindo todos os remates e acessórios do sistema necessários ao seu perfeito acabamento e estanquidade. m2 144.54000000000002 66 9539.640000000001";vg;1;9539.64
"4.3 execução de impermeabilização de floreiras tipo ""imperalum"" ou equivalente, constituida por: - execução de pendentes sobre laje de betão e betonilha de regularização com o mínimo de 3cm; - primário imperkote f; - telas polyxis r50 garden; - manta geotêtil de 200g/m2 tipo ""impersep 200; - terra vegetal. incluindo todos os remates e acessórios do sistema necessários ao seu perfeito acabamento e estanquidade. medição em projecção horizontal m2 5.11 72 367.92";vg;1;367.92
"4.4 execução de impermeabilização com ""mapelastic"" reforçada com fibra de vidro ""mapenet 150"" nas zonas particularmente solicitadas das i.sanitárias, incluindo preparação da base nos pavimentos e paredes no geral até 0,30m e nas zonas dos duches até ao tecto, aplicada de acordo com as espeficações do fabricante. m2 111.99 32 3583.68";vg;1;3583.68
5 cantarias nan nan nan 8884.368124999999;vg;1;8884.37
5.1.1 ve.01 - 5,14m un 1 88.55 88.55;vg;1;88.55
5.1.2 ve.02 - 0,99m un 3 17.25 51.75;vg;1;51.75
5.1.3 ve.03 - 0,95m un 4 17.25 69;vg;1;69.0
5.1.4 ve.05 - 0,95m un 5 17.25 86.25;vg;1;86.25
5.2.1 ve.04 - 3,65m un 1 464.97375 464.97375;vg;1;464.97
5.2.2 ve.06 - 3,65m un 1 464.97375 464.97375;vg;1;464.97
5.2.3 ve.07 - 3,00m un 4 416.07 1664.28;vg;1;1664.28
5.2.4 ve.08 - 1,15m un 2 150.5925 301.185;vg;1;301.19
5.2.5 ve.09 - 1,15m un 2 150.5925 301.185;vg;1;301.19
5.3.1 piso 0 m 51.300000000000004 85.38749999999999 4380.37875;vg;1;4380.38
5.3.2 cobertura m 11.85 85.38749999999999 1011.8418749999998;vg;1;1011.84
6 revestimento de pavimentos e rodapés nan nan nan 53890.478;vg;1;53890.48
"6.1 execução de betonilha de regularização, com argamassa de ""weber.floor rep"" para receber pavimento radiante, incluindo todos os materiais e trabalhos necessários. m2 nan 14 nan";vg;1;14.0
6.1 alt execução de betonilha de regularização / enchimento com a espessura necessária para receber revestimento de pavimentos, incluindo todos os materiais e trabalhos necessários. m2 504.39 14 7061.46;vg;1;7061.46
"6.2 fornecimento e aplicação de manta acústica resiliente ""cdm-iso-mat"" 4,5mm, incluindo dobras, sobreposições, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento, aplicada de acordo com as indicações do fabricante. m2 nan 11.5 nan";vg;1;11.5
"6.2 alt fornecimento e aplicação de manta acústica resiliente ""danosa-impactodam"" 5mm, incluindo dobras, sobreposições, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento, aplicada de acordo com as indicações do fabricante. m2 395.79 3.9 1543.5810000000001";vg;1;1543.58
6.3 fornecimento e assentamento de revestimento de pavimentos em soalho em réguado de madeira de carvalho ''hakwood'' - rustic collection micro bevel 22x20mm, incluindo cortes, remates, acabamento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 01) m2 nan 187 nan;vg;1;187.0
6.3 alt 1 idem art.º 5.2 com alternativa de 15mm de espessura m2 nan 135 nan;vg;1;135.0
6.3 alt 2 idem art.º 5.2 com alternativa da marca havwoods na mesma cor e acabamento com 15mm de espessura m2 nan nan nan;vg;1;5.2
6.3 alt 3 idem art.º 5.3 com alternativa de pavimento da inpa duoplank rustic a – 16(4)x 220mm m2 nan nan nan;vg;1;5.3
6.3 alt 4 idem art.º 5.3 com alternativa de pavimento erg premiun wood nature, carvalho vintage, com espessura de 15 mm, largura 220 mm e comprimento 2200 mm m2 235.85 85 20047.25;vg;1;20047.25
6.4 fornecimento e assentamento de revestimento de pavimentos em sistema epoxy terrazo aplicado in situ, de resina sintética agregadora de cargas em mármore reciclado, acabamento amaciado, incluindo todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 02) m2 nan 261 nan;vg;1;261.0
6.4 alt 1 fornecimento e assentamento de revestimento de pavimentos em mosaico cerâmico pocelanosa aston acero s-r 60x60cm, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 03) m2 150.64999999999998 94.5 nan;vg;1;94.5
6.4 alt 2 fornecimento e assentamento de revestimento de pavimentos em pedra azul valverde amaciado 60x60x2cm, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 02) m2 129.61 135 17497.350000000002;vg;1;17497.35
6.4 alt 3 fornecimento e assentamento de revestimento de pavimentos em mosaico de grés cerâmico da fiandre (shades) série quietstones maximum, peças com 3000/1500/1000x1000mm e 6mm de espessura, nas cores sand, nunb ou rock, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 04) m2 21.04 106 2230.24 pavimentos de casas de banho excepto;vg;1;2230.24
6.5.1 em pavimentos m2 1.8599999999999999 98.55 183.30299999999997;vg;1;183.3
6.5.2 em cobertores m 15.6 98.55 1537.3799999999999;vg;1;1537.38
6.5.3 em espelhos m 18 98.55 1773.8999999999999;vg;1;1773.9
6.6 fornecimento e assentamento de revestimento de pavimentos em mosaico de grés cerâmico da fiandre (shades) série quietstones maximum, peças com 300/1500/100x100mm e 6mm de espessura, nas cores sand, nunb ou rock, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 04) m2 1.54 106 nan;vg;1;106.0
6.6 alt fornecimento e assentamento de revestimento de pavimentos em pedra azul valverde amaciado 60x60x2cm, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 02) m2 1.54 135 207.9;vg;1;207.9
6.7 execução de regularização do pavimento em betão com uma camada de cin ref. 7f-140 c-floor sealer e140 (com adição de cin ref. 7s-360 quartz g300 em caso de suportes rugosos e irregulares), incluindo todos os trabalhos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav.05) m2 nan 44 nan;vg;1;44.0
6.8 execução de pinturas sobre betão regularizado, com 2 demãos de revestimento resina bicomponente epoxi acetinado antiderrapante cin ref. 7f-400 c-floor e400 sl em cor a definir em obra, aplicada de acordo com as indicações do fabricante. (pav.06) m2 nan 50 nan;vg;1;50.0
6.7 e 6.8 alt aplicação de endurecedor de superfície de 4kg/m2, acabamento afagado durante a execução do massame, incluindo todos os trabalhos necessários ao seu perfeito acabamento m2 26.06 28 729.68;vg;1;729.68
6.9 fornecimento e assentamento de revestimento de pavimentos em pastilha de vidro ezarri, série niebla, cor a definir em obra, conforme estereotomia a validar em obra, incluindo reboco hidráulico, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 07) m2 12.68 85.05 1078.434;vg;1;1078.43
6.10 fornecimento e assentamento de tapete tipo cairo com perfil em cantoneira inox de remate assente em piso rebaixado, incluindo todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav.08) com 1,16x0,76m un 1 325 325;vg;1;325.0
6.11 execução de pinturas sobre betão com 1 demão de cromodol sealer e 1 a 2 demãos de c-pox tl790 fg da cin, aplicada de acordo com as indicações do fabricante. (pav.09) m2 2.63 75 197.25;vg;1;197.25
6.12 alt 1 fornecimento e assentamento de revestimento de pavimentos em mosaico cerâmico pocelanosa aston acero s-r nas dimensões necessárias, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 10) nan nan nan nan;vg;1;1.0
6.12.1 alt 1 em pavimentos m2 68.4 94.5 nan;vg;1;94.5
6.12.2 alt 1 em cobertores, com acabamento boleado / estreado m 58.49999999999999 105.5 nan;vg;1;105.5
6.12.3 alt 1 em espelhos m 65.5 32.5 nan;vg;1;32.5
6.12 alt 2 fornecimento e assentamento de revestimento de pavimentos em pedra azul valverde amaciado 60x60x2cm nas dimensões necessárias, conforme estereotomia a validar em obra, incluindo cimento cola de assentamento, cortes, remates, betumagem de juntas à cor, arestas e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (pav 10) nan nan nan nan;vg;1;2.0
6.12.1 alt 2 em pavimentos m2 56.83 135 7672.05;vg;1;7672.05
6.12 alt 3 fornecimento e assentamento de revestimento de pavimentos em soalho em madeira de carvalho igual ao pavimento erg premiun wood nature, carvalho vintage, incluindo cortes, remates, acabamento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. nan nan nan nan;vg;1;3.0
6.12.1 alt 3 em pavimentos m2 11.57 88 1018.1600000000001;vg;1;1018.16
6.12.2 alt 3 em cobertores, com acabamento em aresta cortada m 58.49999999999999 65 3802.4999999999995;vg;1;3802.5
6.12.3 alt 3 em espelhos m 65.5 38 2489;vg;1;2489.0
6.13 fornecimento e montagem de rodapé em perfil em u de cantoneira com 50mm, em chapa de aço inox quinada, incluindo fixações e restantes trabalhos necessários ao seu perfeito acabamento, conforme pormenores de projecto. (rdp.01) m nan 35 nan;vg;1;35.0
6.13 alt fornecimento e assentamento de rodapé em mdf hidrófugo de 50mm com 15mm de espessura, montado á faceda parede, incluindo lacagem de fábrica em cor a definir em obra e acabamento mate, fixações, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento. (rdp.03) m 68.7 9 618.3000000000001;vg;1;618.3
6.14 execução de rodapé em meia cana no sistema epoxy terrazo aplicado in situ, de resina sintética agregadora de cargar em mármore reciclado com acabamento amaciado na continuidade do pavimento. (rdp.02) m nan 117 nan;vg;1;117.0
6.14 alt fornecimento e assentamento de rodapé em mdf hidrófugo de 50mm com 15mm de espessura, montado á faceda parede, incluindo lacagem de fábrica em cor a definir em obra e acabamento mate, fixações, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento. (rdp.03) m 58.99 9 530.91;vg;1;530.91
6.15 fornecimento e assentamento de rodapé em mdf de 50mm com 15mm de espessura, montado á faceda parede, incluindo lacagem de fábrica em cor a definir em obra e acabamento mate, fixações, cortes, remates e restantes trabalhos necessários ao seu perfeito acabamento. (rdp.03) m 167.80999999999997 18 3020.5799999999995;vg;1;3020.58
7 revestimento de paredes nan nan nan 46371.051499999994;vg;1;46371.05
7.1 execução de reboco estanhado altek 15-930 da cin incluindo preparação da base prontas e receber a pintura definida. (par.01) m2 nan 26 nan;vg;1;26.0
"7.1 alt 1 execução de reboco com acabamento afagado e barramento a ""mecafino plus"" da ""placo"", pronto a receber pintura, ncluindo preparação da base prontas e receber a pintura definida. m2 556.3099999999998 24 13351.439999999995";vg;1;13351.44
7.1 alt 2 execução de reboco estanhado pk06 da sécil incluindo preparação da base prontas e receber a pintura definida. m2 nan 26 nan;vg;1;26.0
7.2 execução de pintura com 3 demãos de cin 10-211 cashmere em cor a definir em obra, sobre primário acrilico aquoso branco cin ref. 10-600 primário ep/gc 300, aplicada conforme especificações do fabricante. (par.01) m2 556.3099999999998 12 6675.7199999999975;vg;1;6675.72
7.3 execução de reboco estanhado altek 15-930 da cin incluindo preparação da base prontas e receber a pintura definida. (par.02) m2 nan 26 nan;vg;1;26.0
"7.3 alt 1 execução de reboco com acabamento afagado e barramento a ""mecafino plus"" da ""placo"", pronto a receber pintura, ncluindo preparação da base prontas e receber a pintura definida. m2 21.229999999999997 24 509.5199999999999";vg;1;509.52
7.3 alt 2 execução de reboco estanhado pk06 da sécil incluindo preparação da base prontas e receber a pintura definida. m2 nan 26 nan;vg;1;26.0
7.4 execução de pintura com 3 demãos de cin 12-230 cinacryl mate em cor a definir em obra, sobre primário acrilico aquoso branco cin ref. 10-600 primário ep/gc 300, aplicada conforme especificações do fabricante. (par.02) m2 21.229999999999997 16 339.67999999999995;vg;1;339.68
7.5 execução de pintura sobre gesso cartonado com 3 demãos de cin 10-211 cashmere em cor a definir em obra, sobre primário acrilico aquoso branco cin ref. 10-600 primário ep/gc 300, aplicada conforme especificações do fabricante. (par.03) m2 7.65 12 91.80000000000001;vg;1;91.8
7.6 execução de reboco estanhado com densidade superior a 200kg/m3, incluindo preparação da base prontas e receber a pintura definida. m2 nan 26 nan;vg;1;26.0
7.6 alt execução de reboco estanhado pk06 da sécil incluindo preparação da base prontas e receber a pintura definida. m2 100.46 26 2611.96;vg;1;2611.96
7.7 execução de pintura sobre betão regularizado / reboco weber.rev liso com 2 a 3 demãos de cin c-cryl w 720 hb ref. 12.720 em cor a definir em obra, aplicada conforme especificações do fabricante. (par.04) m2 100.46 16 1607.36;vg;1;1607.36
7.8 fornecimento e assentamento de revestimento em mosaico de grês cerâmico da fiandre (shades) série quietstones maximum, peças de 3000/1500/1000 x1000mm com 6 mm de espessura, nas cores sand, numb ou rock, conforme estereotomia, incluindo colas de assentamento, cortes, remates e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (par.05) m2 108.26999999999997 106 11476.619999999997;vg;1;11476.62
7.9 fornecimento e assentamento de revestimento em pastilha de vidro ezarri, série niebla na cor a definir em obra, conforme estereotomia, incluindo degraus e caleira sobre reboco térmico, colas de assentamento, cortes, remates e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (par.06) m2 9.11 85.05 774.8054999999999;vg;1;774.81
7.10 fornecimento e assentamento de revestimento em paineis de mdf hidrófugo com 20mm de espessura, lacado de fábrica em cor a definir em obra e acabamento mate, incluindo estrutura de suporte, sistema de fixação e todos os trabalhos necessários ao seu perfeito acabamento conforme desenhos de pormenor. (par.07) m2 39.14 113.4 4438.476000000001;vg;1;4438.48
7.11 execução de pintura sobre betão com 1 demão de cromodol sealer e 1 a 2 demãos de c-pox tl 790 fg da cin, aplicada conforme especificações do fabricante. (par.08) m2 21.79 28 610.12;vg;1;610.12
"7.12 fornecimento e assentamento de isolamento em paineis ""celenit l3"" + rede de fibra de vidro 35x1000x600mm, aplicados de acordo com as indicações do fabricante. caixa do elevador m2 61.4 49.25 3023.95";vg;1;3023.95
"7.13 execução de reboco sobre paineis de ""celenit"" com densidade superior a 200kg/m3, incluindo todos os trabalhos necessários pronto a receber acabamento a mecafin. nan 61.4 14 859.6";vg;1;859.6
8 revestimento de tectos nan nan nan 23940.602999999996;vg;1;23940.6
8.1 fornecimento e montagem de tectos em sandwich acústica (solução gypcork icb 13-20 hidrófuga da gyptec) composta por gesso cartonado n13 + cortiça com 20mm de espessura, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (tet.01) m2 40.17 59.8 nan;vg;1;59.8
8.1 alt fornecimento e montagem de tectos falsos em gesso cartonado knauf diamant pro dfh1i com 15mm de espessura e lã de rocha de 30mm de espessura e 70kg/m3, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, recaídas, sancas de iluminação, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. m2 40.17 46.8 1879.956;vg;1;1879.96
8.2 execução de esquema de pintura sobre tectos em gesso cartonado com 3 demãos de cin ref. 12-230 cinacryl mate, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.01) m2 40.17 12 482.04;vg;1;482.04
8.3 fornecimento e montagem de tectos em sandwich acústica (solução gypcork icb 13-20 hidrófuga da gyptec) composta por gesso cartonado n13 + cortiça com 20mm de espessura, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (tet.02) m2 173.99 59.8 nan;vg;1;59.8
8.3 alt fornecimento e montagem de tectos falsos em gesso cartonado knauf diamant pro dfh1i com 15mm de espessura e lã de rocha de 30mm de espessura e 70kg/m3, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, recaídas, sancas de iluminação, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. m2 173.99 46.8 8142.732;vg;1;8142.73
8.4 execução de esquema de pintura sobre tectos em gesso cartonado com 3 demãos de cin ref. 12-250 vinylmatt, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.02) m2 173.99 9.75 1696.4025000000001;vg;1;1696.4
8.5 fornecimento e montagem de tectos falsos em gesso cartonado knauf diamant pro dfh1i com 15mm de espessura, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, recaídas, sancas de iluminação, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (tet.03) m2 45.029999999999994 38 1711.1399999999999;vg;1;1711.14
8.6 execução de esquema de pintura sobre tectos em gesso cartonado com 3 demãos de cin ref. 12-250 vinylmatt, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.03) m2 45.029999999999994 9.75 439.04249999999996;vg;1;439.04
8.7 fornecimento e montagem de tectos falsos em gesso cartonado knauf diamant pro dfh1i com 15mm de espessura, pronto para receber pintura, incluindo estrutura de suspensão e fixação, cortes, remates, recaídas, sancas de iluminação, barramento e todos os trabalhos e fornecimentos necessários a um perfeito acabamento, tudo de acordo com as indicações das peças escritas e desenhadas do projecto. (tet.04) m2 67.46 38 2563.4799999999996;vg;1;2563.48
8.8 execução de esquema de pintura sobre tectos em gesso cartonado com 3 demãos de cin ref. 12-230 cinacryl mate, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.04) m2 67.46 14 944.4399999999999;vg;1;944.44
8.9 execução de reboco estanhado altek 15-930 da cin incluindo preparação da base prontas e receber a pintura definida. (tet.05) m2 nan 26 nan;vg;1;26.0
"8.9 alt 1 execução de reboco com acabamento afagado e barramento a ""mecafino plus"" da ""placo"", pronto a receber pintura, ncluindo preparação da base prontas e receber a pintura definida. m2 85.13999999999999 24 2043.3599999999997";vg;1;2043.36
8.9 alt 2 execução de reboco estanhado pk06 da sécil incluindo preparação da base prontas e receber a pintura definida. m2 nan 26 nan;vg;1;26.0
8.10 execução de esquema de pintura sobre tectos rebocados com 3 demãos de cin ref. 12-250 vinylmatt, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.05) m2 85.13999999999999 9 766.2599999999999;vg;1;766.26
8.11 execução de reboco estanhado altek 15-930 da cin incluindo preparação da base prontas e receber a pintura definida. (tet.06) m2 17.79 26 nan;vg;1;26.0
"8.11 alt 1 execução de reboco com acabamento afagado e barramento a ""mecafino plus"" da ""placo"", pronto a receber pintura, ncluindo preparação da base prontas e receber a pintura definida. m2 17.79 24 426.96";vg;1;426.96
8.11 alt 2 execução de reboco estanhado pk06 da sécil incluindo preparação da base prontas e receber a pintura definida. m2 17.79 26 nan;vg;1;26.0
8.12 execução de esquema de pintura sobre rebocados com 3 demãos de cin ref. 12-230 cinacryl mate, em cor a definir em obra, incluindo primário acrilico aquoso branco cin ref. 10-600 primário ep/gc300, aplicada de acordo com as indicações do fabricante. (tet.06) m2 17.79 12 213.48;vg;1;213.48
8.13 execução de esquema de pintura sobre betão regularizado com weber.rev liso, com 2 a 3 demãos de cin c-cryl w 720 hb ref. 12.720 em cor a definir em obra, aplicada de acordo com as indicações do fabricante. (tet.07) m2 2.63 12 31.56;vg;1;31.56
8.14 execução de reboco areado fino, aplicado de acordo com as indicações do fabricante. (tet.08) m2 103.99 16 1663.84;vg;1;1663.84
8.15 execução de esquema de pintura sobre rebocado com 2 demãos de pintura cin contrato em cor a definir em obra, aplicada de acordo com as indicações do fabricante. (tet.08) m2 103.99 9 935.91;vg;1;935.91
9 carpintarias nan nan nan 140309.07500000004;vg;1;140309.08
9.1.1 ar.02 - 0,92x0,50x0,55m, incluindo bancada em dekton liquid shell slim com 4mm de espessura un 1 1305.4 1305.4;vg;1;1305.4
9.1.2 ar.09 - 1,20x0,50x0,55m, incluindo bancada em dekton dekton liquid shell slim com 4mm de espessura un 1 1703.4 1703.4;vg;1;1703.4
9.1.3 ar.10 - 2,30x0,50x0,55m, incluindo bancada em dekton dekton liquid shell slim com 4mm de espessura un 1 3264.85 3264.85;vg;1;3264.85
9.2.1 ar.03 - 0,92x0,30x0,55m, incluindo bancada em dekton liquid shell slim com 4mm de espessura un 1 750.65 750.65;vg;1;750.65
9.2.2 ar.05 - 1,38x0,30x0,55m, incluindo bancada em dekton liquid shell slim com 4mm de espessura un 1 1125.2 1125.2;vg;1;1125.2
9.2.3 ar.08 - 1,02x0,30x0,55m, incluindo bancada em dekton liquid shell slim com 4mm de espessura un 1 831.45 831.45;vg;1;831.45
9.3.1 ar.11 - 3,15x0,60x2,70m (1 módulo c + 1 módulo b + 1 módulo g2) un 1 4179 4179;vg;1;4179.0
